"owner","rating","one_week_change","ytd_wins","sim_wins","p_1st","current_season","weeks_played"
"John L",1598,19,10,10.62,1,2017,12
"Andrew F",1551,21,8,8.68,0,2017,12
"Steve C",1549,-19,7,7.71,0,2017,12
"John N",1549,-21,8,8.68,0,2017,12
"Steve F",1510,16,6,6.38,0,2017,12
"Jeff M",1424,-15,3,3.32,0,2017,12
"Nathan S",1423,-16,4,4.32,0,2017,12
"Craig B",1397,15,2,2.29,0,2017,12
