drafted_player,slot,salary,owner,year,draft_type
Brandon Marshall,WR/TE,17,Steve C,2014,redraft
Isaiah Crowell,RB,15,Steve C,2014,redraft
Alshon Jeffery,WR/TE,11,Steve C,2014,redraft
Frank Gore,RB,10,Steve C,2014,redraft
Rams D/ST,DST,2,Steve C,2014,redraft
Emmanuel Sanders,WR/TE,4,Steve C,2014,redraft
Mark Ingram,RB,1,Steve C,2014,redraft
Justin Forsett,RB,1,Steve C,2014,redraft
Jonathan Stewart,RB,1,Steve C,2014,redraft
Matt Forte,RB,65,Steve F,2014,redraft
Demarco Murray,RB,49,Steve F,2014,redraft
Peyton Manning,QB,38,Steve F,2014,redraft
Julius Thomas,WR/TE,22,Steve F,2014,redraft
Rob Gronkowski,WR/TE,12,Steve F,2014,redraft
Tre Mason,RB,6,Steve F,2014,redraft
Ka'Deem Carey,RB,3,Steve F,2014,redraft
Keenan Allen,WR/TE,3,Steve F,2014,redraft
Lions D/ST,DST,3,Steve F,2014,redraft
Shaun Suisham,K,1,Steve F,2014,redraft
Joseph Randle,RB,1,Steve F,2014,redraft
Torrey Smith,WR/TE,1,Steve F,2014,redraft
Latavius Murray,RB,1,Steve F,2014,redraft
Russell Wilson,QB,12,Andrew F,2015,initial
Matt Forte,RB,50,Andrew F,2015,initial
Andre Ellington,RB,7,Andrew F,2015,initial
Antonio Brown,WR/TE,53,Andrew F,2015,initial
Demaryius Thomas,WR/TE,52,Andrew F,2015,initial
Julian Edelman,WR/TE,14,Andrew F,2015,initial
Cardinals D/ST,DST,1,Andrew F,2015,initial
Justin Tucker,K,1,Andrew F,2015,initial
Eric Decker,WR/TE,2,Andrew F,2015,initial
Davonte Adams,WR/TE,3,Andrew F,2015,initial
TJ Yeldon,RB,1,Andrew F,2015,initial
Brandon LaFell,WR/TE,1,Andrew F,2015,initial
Christine Michael,RB,1,Andrew F,2015,initial
Tony Romo,QB,2,Craig B,2015,initial
Eddie Lacy,RB,69,Craig B,2015,initial
Adrian Peterson,RB,69,Craig B,2015,initial
Golden Tate,WR/TE,6,Craig B,2015,initial
Jarvis Landry,WR/TE,1,Craig B,2015,initial
Amari Cooper,WR/TE,1,Craig B,2015,initial
Texans D/ST,DST,2,Craig B,2015,initial
Adam Vinatieri,K,1,Craig B,2015,initial
Todd Gurley,RB,4,Craig B,2015,initial
Jonathan Stewart,RB,2,Craig B,2015,initial
Sammy Watkins,WR/TE,8,Craig B,2015,initial
Jeremy Maclin,WR/TE,11,Craig B,2015,initial
Keenan Allen,WR/TE,3,Craig B,2015,initial
Peyton Manning,QB,13,Jeff M,2015,initial
Demarco Murray,RB,56,Jeff M,2015,initial
Mark Ingram,RB,20,Jeff M,2015,initial
Randall Cobb,WR/TE,33,Jeff M,2015,initial
Rob Gronkowski,WR/TE,41,Jeff M,2015,initial
Brandin Cooks,WR/TE,20,Jeff M,2015,initial
Bills D/ST,DST,2,Jeff M,2015,initial
Stephen Gostkowski,K,2,Jeff M,2015,initial
Carlos Hyde,RB,8,Jeff M,2015,initial
Ryan Mathews,RB,2,Jeff M,2015,initial
Martavis Bryant,WR/TE,1,Jeff M,2015,initial
Darren McFadden,RB,1,Jeff M,2015,initial
Sam Bradford,QB,1,Jeff M,2015,initial
Aaron Rodgers,QB,30,John L,2015,initial
Jamaal Charles,RB,57,John L,2015,initial
Latavius Murray,RB,9,John L,2015,initial
Odell Beckham Jr,WR/TE,45,John L,2015,initial
Emmanuel Sanders,WR/TE,12,John L,2015,initial
Steve Smith Sr,WR/TE,2,John L,2015,initial
Seahawks D/ST,DST,3,John L,2015,initial
Mason Crosby,K,2,John L,2015,initial
Jason Witten,WR/TE,2,John L,2015,initial
Brandon Marshall,WR/TE,4,John L,2015,initial
DeSean Jackson,WR/TE,1,John L,2015,initial
CJ Spiller,RB,2,John L,2015,initial
Matt Ryan,QB,1,John L,2015,initial
Drew Brees,QB,11,John N,2015,initial
LeVeon Bell,RB,65,John N,2015,initial
Alfred Morris,RB,8,John N,2015,initial
Julio Jones,WR/TE,49,John N,2015,initial
DeAndre Hopkins,WR/TE,12,John N,2015,initial
Chris Ivory,RB,6,John N,2015,initial
Panthers D/ST,DST,1,John N,2015,initial
Cody Parkey,K,1,John N,2015,initial
Jordan Matthews,WR/TE,16,John N,2015,initial
Nelson Agholor,WR/TE,2,John N,2015,initial
Ameer Abdullah,RB,5,John N,2015,initial
LeGarrette Blount,RB,6,John N,2015,initial
Doug Martin,RB,3,John N,2015,initial
Andrew Luck,QB,40,Nathan S,2015,initial
CJ Anderson,RB,67,Nathan S,2015,initial
Melvin Gordon,RB,16,Nathan S,2015,initial
Calvin Johnson,WR/TE,41,Nathan S,2015,initial
Jimmy Graham,WR/TE,10,Nathan S,2015,initial
Joique Bell,RB,6,Nathan S,2015,initial
Packers D/ST,DST,1,Nathan S,2015,initial
Brandon McManus,K,1,Nathan S,2015,initial
Andre Johnson,WR/TE,5,Nathan S,2015,initial
Rashad Jennings,RB,1,Nathan S,2015,initial
Marques Colston,WR/TE,1,Nathan S,2015,initial
Tevin Coleman,RB,5,Nathan S,2015,initial
Cam Newton,QB,1,Nathan S,2015,initial
Ben Roethlisberger,QB,7,Steve C,2015,initial
Jeremy Hill,RB,32,Steve C,2015,initial
Justin Forsett,RB,27,Steve C,2015,initial
Dez Bryant,WR/TE,50,Steve C,2015,initial
Alshon Jeffery,WR/TE,24,Steve C,2015,initial
Frank Gore,RB,23,Steve C,2015,initial
Rams D/ST,DST,1,Steve C,2015,initial
Steven Hauschka,K,1,Steve C,2015,initial
Arian Foster,RB,14,Steve C,2015,initial
Mike Evans,WR/TE,18,Steve C,2015,initial
Charles Johnson,WR/TE,1,Steve C,2015,initial
Allen Robinson,WR/TE,1,Steve C,2015,initial
John Brown,WR/TE,1,Steve C,2015,initial
Tom Brady,QB,9,Steve F,2015,initial
Marshawn Lynch,RB,69,Steve F,2015,initial
Lamar Miller,RB,21,Steve F,2015,initial
AJ Green,WR/TE,35,Steve F,2015,initial
TY Hilton,WR/TE,19,Steve F,2015,initial
LeSean McCoy,RB,36,Steve F,2015,initial
Jets D/ST,DST,1,Steve F,2015,initial
Dan Bailey,K,1,Steve F,2015,initial
Isaiah Crowell,RB,1,Steve F,2015,initial
Joseph Randle,RB,4,Steve F,2015,initial
Vincent Jackson,WR/TE,1,Steve F,2015,initial
Bishop Sankey,RB,1,Steve F,2015,initial
Mike Wallace,WR/TE,1,Steve F,2015,initial
